* sample protocol file,,,,
* ,,,,
*,"line that begins with ""*"" is regarded as comment, and will be ignored",,,
*,* から始まる行はコメント行として無視する,,,
*,,,,
*,,,,
*,1列目は必ずTrial,,,
*,プロトコールを記述している部分より下および右には何も書かない,,,
*,,,,
Trial,Target Direction,Visuo Motor Rotation Angle,Vibration,Start Area Position X
1,90,0,TRUE,0
2,90,0,TRUE,0
3,90,0,TRUE,0
4,90,0,TRUE,0
5,90,0,TRUE,0
6,90,-1,TRUE,0
7,90,-2,TRUE,0
8,90,-3,TRUE,0
9,90,-4,TRUE,0
10,90,-5,TRUE,0
11,90,-6,TRUE,0
12,90,-7,TRUE,0
13,90,-8,TRUE,0
14,90,-9,TRUE,0
15,90,-10,TRUE,0
16,90,-11,TRUE,0
17,90,-12,TRUE,0
18,90,-13,TRUE,0
19,90,-14,TRUE,0
20,90,-15,TRUE,0
21,90,-15,TRUE,0
22,90,-14,TRUE,0
23,90,-13,TRUE,0
24,90,-12,TRUE,0
25,90,-11,TRUE,0
26,90,-10,TRUE,0
27,90,-9,TRUE,0
28,90,-8,TRUE,0
29,90,-7,TRUE,0
30,90,-6,TRUE,0
31,90,-5,TRUE,0
32,90,-4,TRUE,0
33,90,-3,TRUE,0
34,90,-2,TRUE,0
35,90,-1,TRUE,0
36,90,0,TRUE,0
37,90,0,TRUE,0
38,90,0,TRUE,0
39,90,0,TRUE,0
40,90,0,TRUE,0
